name,form,url,artists,status
Bulbasaur,,,Tayla,reserved
Ivysaur,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/002Ivysaur.png,Arch|Scepticallistic,done
Venusaur,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/003Venusaur.png,Wizwum,done
Charmander,,,Arch,reserved
Charmeleon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/005Charmeleon.png,Tayla|Scepticallistic,done
Charizard,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/006Charizard.png,Scepticallistic,done
Squirtle,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/007Squirtle.png,Abecedarian|Sleet,done
Wartortle,,,Blackhawk11,reserved
Blastoise,,,Romeert,reserved
Caterpie,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/010Caterpie.png,Scepticallistic,done
Metapod,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/011Metapod.png,Scepticallistic,done
Butterfree,,,Tayla,reserved
Weedle,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/013Weedle.png,Scepticallistic,done
Kakuna,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/014Kakuna.png,Scepticallistic|DjGopher,done
Beedrill,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/015Beedrill.png,Wizwum,done
Pidgey,,,,
Pidgeotto,,,,
Pidgeot,,,,
Rattata,,,,
Raticate,,,,
Spearow,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/021Spearow.png,Sleet,done
Fearow,,,,
Ekans,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/023Ekans.png,Gwogobo,done
Arbok,,,,
Pikachu,,,Tayla,reserved
Raichu,,,,
Sandshrew,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/027Sandshrew.png,Nopie,done
Sandslash,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/028Sandslash.png,Nopie,done
Nidoran♀,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/029NidoranF.png,DjGopher,done
Nidorina,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/030Nidorina.png,Sleet,done
Nidoqueen,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/031Nidoqueen.png,Sleet|Scepticallistic,done
Nidoran♂,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/032NidoranM.png,DjGopher,done
Nidorino,,,,
Nidoking,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/034Nidoking.png,Sleet|Scepticallistic,done
Clefairy,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/035Clefairy.png,Wizwum|Scepticallistic,done
Clefable,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/036Clefable.png,Wizwum,done
Vulpix,,,,
Ninetales,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/038Ninetales.png,Solackno|Scepticallistic,done
Jigglypuff,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/039Jigglypuff.png,Nopie,done
Wigglytuff,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/040Wigglytuff.png,Nopie|Wizwum,done
Zubat,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/041Zubat.png,Sleet|Scepticallistic,done
Golbat,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/042Golbat.png,Blackhawk11|Wizwum,done
Oddish,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/043Oddish.png,Wizwum,done
Gloom,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/044Gloom.png,Wizwum,done
Vileplume,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/045Vileplume.png,blakkmajyk|Scepticallistic,done
Paras,,,,
Parasect,,,,
Venonat,,,,
Venomoth,,,,
Diglett,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/050Diglett.png,Nopie,done
Dugtrio,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/051Dugtrio.png,Nopie,done
Meowth,,,,
Persian,,,,
Psyduck,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/054Psyduck.png,Blackhawk11|DarthVader317,done
Golduck,,,Blackhawk11,reserved
Mankey,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/056Mankey.png,Nopie,done
Primeape,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/057Primeape.png,Nopie,done
Growlithe,,,,
Arcanine,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/059Arcanine.png,Alchemator|aXl|Scepticallistic,done
Poliwag,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/060Poliwag.png,Nopie,done
Poliwhirl,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/061Poliwhirl.png,Nopie,done
Poliwrath,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/062Poliwrath.png,Nopie,done
Abra,,,,
Kadabra,,,,
Alakazam,,,,
Machop,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/066Machop.png,Blackhawk11|Scepticallistic,done
Machoke,,,,
Machamp,,,,
Bellsprout,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/069Bellsprout.png,Mouse|Scepticallistic,done
Weepinbell,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/070Weepinbell.png,Sleet,done
Victreebel,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/071Victreebel.png,Sleet,done
Tentacool,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/072Tentacool.png,Alchemator,done
Tentacruel,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/073Tentacruel.png,Alchemator|aXl,done
Geodude,,,,
Graveler,,,,
Golem,,,,
Ponyta,,,,
Rapidash,,http://i122.photobucket.com/albums/o250/Wizwum/rapidashfinal.png,Wizwum,limbo
Slowpoke,,,,
Slowbro,,,,
Magnemite,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/081Magnemite.png,Nopie|Wizwum,done
Magneton,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/082Magneton.png,Nopie|DarthVader317,done
Farfetch'd,,http://img714.imageshack.us/img714/2874/85472994.png,Darkanine|Scepticallistic,limbo
Doduo,,http://img21.imageshack.us/img21/9083/084doduo.png,Sleet,limbo
Dodrio,,http://img856.imageshack.us/img856/2259/085dodrio.png,Sleet,limbo
Seel,,,Mektar,reserved
Dewgong,,,Mektar,reserved
Grimer,,,,
Muk,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/089Muk.png,Scepticallistic,done
Shellder,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/090Shellder.png,JarardoMartino|DarthVader317,done
Cloyster,,,,
Gastly,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/092Gastly.png,Scepticallistic,done
Haunter,,,,
Gengar,,,,
Onix,,,,
Drowzee,,http://imgcash6.imageshack.us/img826/7800/096drowzee2.png,Sleet,limbo
